,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
10,La Pampa,51-100,Servicios / Consultoría de Software / Digital,1215,4537,3362,3750,2331,"*BSD,HP-UX,SAP,VMWare,Windows Server","Assembler,Go,Groovy,HTML,Rust","React.js,Vue.js","Amazon RDS/Aurora,Informix,PostgreSQL,SQLite",Telerik Studio,"IntelliJ,Komodo,RStudio","Descuento en gimnasios / Clases de gimnasia online,Lactario en la oficina"
11,Salta,501-1000,Otras industrias,7827,8282,2440,5234,2391,,"Perl,R,Rust","Cordova,SwiftUI,SAP","Percona Server,Sybase","Katalon,Silktest","Visual Studio,Zend",Sueldo divido en dos pagos por mes
12,Santa Cruz,10001+,Producto basado en Software,7155,2436,312,5987,2128,"Amazon Web Services,Google Cloud Platform/App Engine","COBOL,Delphi,Groovy,Javascript,Rust","Flask,TensorFlow","Amazon Redshift,Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraBackup,ProxySQL","PHPUnit,Puppeteer,Test Complete","NetBeans,Notepad++","Licencia de paternidad / maternidad extendida,Vacaciones flexibles (adicionales a las reglamentarias)"
13,San Luis,501-1000,Producto basado en Software,8454,5471,1611,4076,3972,"IBM Cloud / Watson,Mainframe,SAP","CSS,Go,Elixir,Ruby,Smalltalk,Swift,VBA",Bootstrap,"Amazon DynamoDB,Google Cloud Storage,PostgreSQL","HP UFT,NUnit,Test Complete",NetBeans,"Abono de celular,Lactario en la oficina"
14,Santiago del Estero,1 (solamente yo),Producto basado en Software,9099,6729,8944,6383,8917,"Amazon Web Services,Firebase,Linux,Mainframe,SAP,VMWare","COBOL,Rust,Solidity","Spark,Spring","Informix,MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc),Oracle,SQLite","HP UFT,Test Complete",Visual Studio,"Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles,Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
15,Tierra del Fuego,10001+,Producto basado en Software,5828,9756,7173,1810,5551,"*BSD,Mainframe,SAP","HTML,Java,Rust,VBA",".NET Core,React.js","Cassandra,MongoDB,PostgreSQL",,"IntelliJ,RStudio,Sublime Text,Vi,Vim,Visual Studio Code",
16,Provincia de Buenos Aires,10001+,Producto basado en Software,248,9428,4880,1628,7382,"AIX,Arduino o similar,Serverless","Erlang,Scala","Node.js,Rails,Symfony","Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraDB Cluster","Cypress,RSpec",Vi,"Clases de idiomas,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
17,Santa Fe,5001-10000,Producto basado en Software,7026,4739,2702,719,637,Google Cloud Platform/App Engine,"C,C++,SQL",,"HANA,Microsoft SQL Server,MongoDB","HP LoadRunner,HP UFT,TFS",Xcode,"Clases de idiomas,Licencia de paternidad / maternidad extendida"
18,Córdoba,11-50,Otras industrias,6828,3548,6432,8864,8031,"Amazon Web Services,OpenShift","Delphi,Rust,TypeScript","CodeIgniter,Laravel,Torch","Apache HBase,Microsoft Azure (Tables, CosmosDB, SQL, etc),Neo4j",NUnit,"Atom,Eclipse,Nano,Visual Studio Code,WebStorm","Abono de Internet,Horarios flexibles"
19,Formosa,501-1000,Producto basado en Software,3758,8485,9559,7143,9290,Amazon Web Services,"Assembler,C++,COBOL,Matlab,R,Rust",CodeIgniter,"Amazon DynamoDB,HANA,SQLite","Lippia,Selenium","Notepad++,PHPStorm,Vi,WebStorm,Xcode",Abono de celular
20,Corrientes,1001-2000,Producto basado en Software,3484,5584,3519,4850,4681,"Firebase,Google Cloud Platform/App Engine",".NET,Javascript","Hadoop,WordPress","Amazon Redshift,Percona XtraBackup,Redis","OpenQA,Selenium,SoapUI,Xunit","IntelliJ,Sublime Text,Zend",Cuota para universidad / posgrados
21,Provincia de Buenos Aires,51-100,Otras industrias,4804,9125,9557,1078,8039,IBM Cloud / Watson,"Scala,Swift,TypeScript,VBA",".NET Core,Akka,CodeIgniter,SAP,Vue.js","HANA,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Karma,TFS","Android Studio,Vi,Visual Studio Code,WebStorm",
22,Jujuy,2-10,Producto basado en Software,3658,3251,6294,3193,4964,"Docker,Linux","ABAP,Clojure,R,TypeScript",React.js,"IBM Db2,MariaDB,Percona XtraDB Cluster","Cypress,HP LoadRunner,Postman","Komodo,Visual Studio",Descuento en gimnasios / Clases de gimnasia online
23,Jujuy,11-50,Servicios / Consultoría de Software / Digital,8535,7358,8617,2529,8093,VMWare,"Bash/Shell,Scala",,"Aerospike,Amazon RDS/Aurora,Google Cloud Storage,Microsoft SQL Server","HP LoadRunner,JUnit,Ranorex",Visual Studio,
24,La Pampa,501-1000,Otras industrias,8298,7195,8187,6170,8794,"AIX,Amazon Web Services,Docker,Firebase,Linux,Solaris","Arduino,C++,Matlab,Solidity,VBA","Drupal,Hibernate","ElasticSearch,Google Cloud Storage,MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc)","HP UFT,Jest,Test Complete,TFS",,Capacitaciones y/o cursos
25,Mendoza,51-100,Servicios / Consultoría de Software / Digital,2179,8387,8704,1455,6367,"AIX,OpenStack,Windows Server","Bash/Shell,TypeScript","SwiftUI,TensorFlow",SQLite,"JUnit,Postman,Test Complete,TFS","Android Studio,Eclipse,NetBeans,RStudio","Abono de Internet,Comidas pagas / subvencionadas,Viáticos"
26,Santa Fe,10001+,Producto basado en Software,4949,3605,9288,9471,6192,"AIX,Azure,IBM Cloud / Watson","CSS,HTML,PHP","Laravel,Rails","Apache HBase,IBM Db2","HP LoadRunner,Lippia,PHPUnit","Nano,Visual Studio Code",
27,Tucumán,10001+,Producto basado en Software,2234,4048,5760,2357,8202,"Azure,Firebase","C,C#,Matlab,Python","Hadoop,Node.js","Cassandra,HANA,Neo4j,ProxySQL","Jest,Postman","NetBeans,PHPStorm","Comidas pagas / subvencionadas,Stock options / RSUs"
28,Salta,11-50,Producto basado en Software,729,8815,4940,6783,9373,SAP,".NET,Bash/Shell,C#,Matlab,Perl,Smalltalk,Solidity","Cordova,Flask,Hibernate,React.js,SwiftUI","Aerospike,HANA,MariaDB,PostgreSQL","Cypress,HP LoadRunner,Postman,Selenium","Notepad++,Sublime Text","Comidas pagas / subvencionadas,Cuota para universidad / posgrados,Licencia de paternidad / maternidad extendida,Sueldo divido en dos pagos por mes"
29,Neuquén,1 (solamente yo),Otras industrias,8597,8746,1269,7530,7445,"Arduino o similar,*BSD,Docker",".NET,Javascript,Swift","Flutter,Symfony,Torch",Neo4j,"HP LoadRunner,NUnit,TFS","Coda,Sublime Text,Vim",Descuento en gimnasios / Clases de gimnasia online
30,Mendoza,11-50,Servicios / Consultoría de Software / Digital,2604,4867,650,4926,9587,"Azure,*BSD,Microcontroladores,Mainframe,OpenStack,VMWare,Windows Server",C,Spark,"Apache Hive,IBM Db2,Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona Server","Appium,HP UFT","Komodo,Notepad++,Sublime Text,Zend",
31,Tucumán,10001+,Otras industrias,8806,3324,4836,9715,3879,"Amazon Web Services,Heroku,Linux","C#,CSS,HTML","Hibernate,Rails,React.js","Amazon Redshift,Cassandra,Google Cloud Storage,HANA","Appium,Selenium",,"Abono de Internet,Vacaciones flexibles (adicionales a las reglamentarias)"
32,Córdoba,51-100,Otras industrias,9991,710,8277,8465,188,VMWare,"Arduino,COBOL,Elixir,Erlang,Java",Laravel,"Amazon RDS/Aurora,IBM Db2,Percona XtraDB Cluster,ProxySQL","NUnit,PHPUnit,SoapUI","RStudio,Vim,Visual Studio",Viáticos
33,GBA,2-10,Servicios / Consultoría de Software / Digital,5832,1877,8258,7376,4499,Amazon Web Services,"Kotlin,Scala",".NET Core,Bootstrap,Drupal,Hibernate,Laravel,Rails","Google Cloud Storage,HANA","PHPUnit,Xunit",,"Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles,Licencia de paternidad / maternidad extendida"
34,Formosa,11-50,Producto basado en Software,9718,1755,7839,2434,4164,"Azure,Microcontroladores","ABAP,Go,Groovy,Java","Angular,TensorFlow",MySQL,"Lippia,Mocha,Telerik Studio,Visual Studio Coded UI,Watir","Coda,Zend",
35,Entre Ríos,51-100,Otras industrias,9680,6142,8512,132,4796,"Firebase,IBM Cloud / Watson,Solaris,Windows Server","C++,Solidity","Hadoop,jQuery,SwiftUI,TensorFlow","Neo4j,Percona XtraDB Cluster","Appium,HP LoadRunner,Jest",Atom,
36,Catamarca,2-10,Otras industrias,3992,8115,3973,7961,5522,"AIX,Arduino o similar,Microcontroladores","Matlab,Solidity","Flask,Flutter,Hibernate,Rails,React.js","Cassandra,Google Cloud Storage,PostgreSQL,ProxySQL,SQLite","HP LoadRunner,Jest,Lippia,Postman,Puppeteer","Android Studio,Sublime Text,Vi","Cuota para universidad / posgrados,Horarios flexibles,Stock options / RSUs"
37,La Pampa,2-10,Servicios / Consultoría de Software / Digital,1631,5290,8521,8944,1085,"Heroku,Kubernetes,OpenShift,Serverless,Windows Server","C++,SQL,TypeScript",jQuery,,"NUnit,OpenQA,Puppeteer,Selenium","Eclipse,WebStorm","Horarios flexibles,Stock options / RSUs"
38,Santiago del Estero,10001+,Otras industrias,7077,5072,3033,1748,6154,"Arduino o similar,*BSD,Linux","ABAP,C++,Perl,Swift","SwiftUI,Spark","Aerospike,Amazon Redshift,Google Cloud Storage,IBM Db2,MongoDB,ProxySQL","Appium,HP UFT","IntelliJ,Nano,Notepad++,PyCharm,RStudio,Sublime Text,Vim","Abono de celular,Capacitaciones y/o cursos,Licencia de paternidad / maternidad extendida"
39,Formosa,2001-5000,Servicios / Consultoría de Software / Digital,6013,7995,2308,3432,6818,"Docker,Heroku","C#,Java,R,TypeScript","Drupal,Symfony","IBM Db2,Percona Server","JUnit,Postman,Test Complete",Emacs,"Capacitaciones y/o cursos,Licencia de paternidad / maternidad extendida"
40,Corrientes,10001+,Otras industrias,3690,9923,4116,8579,6847,"Google Cloud Platform/App Engine,IBM Cloud / Watson","C#,Groovy,Erlang,Smalltalk","Cordova,Drupal,SwiftUI,Symfony","Aerospike,IBM Db2,Microsoft Azure (Tables, CosmosDB, SQL, etc),Oracle","Cypress,Selenium","PyCharm,RStudio","Cuota para universidad / posgrados,Licencia de paternidad / maternidad extendida,Vacaciones flexibles (adicionales a las reglamentarias)"
41,Santa Cruz,501-1000,Otras industrias,1762,3357,6960,6092,7057,Firebase,"ABAP,C,C#,SQL",Drupal,,"Appium,Postman,RSpec,Silktest",,"Clases de idiomas,Sueldo divido en dos pagos por mes"
42,Neuquén,2-10,Servicios / Consultoría de Software / Digital,6749,4584,1585,1011,5635,HP-UX,"Assembler,C#,Dart,Python,TypeScript","Cordova,Laravel,Vue.js","Apache HBase,Percona Server,SQLite","Lippia,Xunit",,Clases de idiomas
43,Catamarca,5001-10000,Producto basado en Software,263,7635,2921,1369,8940,"AIX,OpenStack","Java,Smalltalk,SQL","Bootstrap,Laravel,SwiftUI,TensorFlow,WordPress",Apache HBase,"Ranorex,Test Complete","Eclipse,IntelliJ,TextMate",
44,Tierra del Fuego,501-1000,Producto basado en Software,1621,5898,7325,4023,4600,"IBM Cloud / Watson,SAP","Bash/Shell,Clojure,Delphi,Erlang,TypeScript",".NET Core,Cordova,Hibernate,React.js,Spring,Vue.js","Amazon DynamoDB,Redis","HP UFT,SoapUI,TFS,Watir","Atom,Coda,Emacs,IntelliJ,Visual Studio Code","Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida"
45,Chaco,51-100,Otras industrias,8608,5706,3444,5482,2621,,"Perl,Smalltalk",Angular,"ElasticSearch,Google Cloud Storage,HANA,Microsoft SQL Server,Percona XtraBackup","HP UFT,Katalon","Komodo,TextMate","Capacitaciones y/o cursos,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
46,Formosa,201-500,Producto basado en Software,7891,7291,7931,794,5975,,"C,Solidity,SQL","Hadoop,Rails","Aerospike,HANA,Informix","Silktest,Xunit","Coda,Nano,NetBeans","Abono de Internet,Capacitaciones y/o cursos,Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas,Viáticos"
47,Tucumán,101-200,Producto basado en Software,4734,4012,4469,5222,4159,Serverless,,"Bootstrap,Node.js,SwiftUI,Spark","MySQL,PostgreSQL,ProxySQL","Lippia,NUnit",Nano,"Horarios flexibles,Licencia de paternidad / maternidad extendida"
48,San Luis,501-1000,Producto basado en Software,6638,1279,7141,6098,7194,"Firebase,Linux,OpenShift","Arduino,C,R,Rust,SQL","SwiftUI,Spark,WordPress","Apache HBase,Percona XtraDB Cluster,ProxySQL","Mocha,OpenQA",,"Sueldo divido en dos pagos por mes,Viáticos"
49,Santa Fe,51-100,Otras industrias,4335,3410,1702,5918,7980,"Amazon Web Services,HP-UX","Groovy,Elixir,Matlab,TypeScript","Akka,Node.js,Rails,Spring","ElasticSearch,Microsoft Azure (Tables, CosmosDB, SQL, etc),Redis,SQLite","JUnit,Katalon,Postman,RSpec,SoapUI,Visual Studio Coded UI,Xunit","Android Studio,Sublime Text,Vi,Vim,Zend",
50,Entre Ríos,2001-5000,Servicios / Consultoría de Software / Digital,7606,5057,338,65,5784,"Docker,HP-UX","ABAP,C,Clojure,Elixir,Erlang,Java,Kotlin,PHP,R,VBA","Drupal,Hadoop","HANA,PostgreSQL","Appium,Selenium,Xunit","NetBeans,Vi,Xcode","Descuento en gimnasios / Clases de gimnasia online,Cuota para universidad / posgrados,Estacionamiento gratuito / subvencionado"
51,Misiones,2-10,Otras industrias,9501,4390,6188,2297,9021,"Docker,Heroku,Linux","Arduino,C#,Clojure,PHP,VBA","Angular,CodeIgniter","Microsoft SQL Server,MongoDB,MySQL,SQLite","Lippia,RSpec","Eclipse,PyCharm,RStudio,Xcode",
52,Misiones,1001-2000,Producto basado en Software,3016,2867,2562,8164,6660,"Heroku,OpenStack,Serverless,VMWare","ABAP,C#,Dart,Delphi","Angular,Django,React.js","Apache Hive,Google Cloud Storage,Percona XtraDB Cluster,ProxySQL","JUnit,OpenQA","Emacs,PyCharm,Vi,Visual Studio Code,WebStorm","Clases de idiomas,Licencia de paternidad / maternidad extendida"
53,Santiago del Estero,1 (solamente yo),Producto basado en Software,568,832,3132,5877,6763,,,.NET Core,"Aerospike,Amazon RDS/Aurora,HANA,Neo4j",,"Notepad++,Visual Studio,Visual Studio Code","Abono de celular,Stock options / RSUs,Sueldo divido en dos pagos por mes"
54,Catamarca,51-100,Servicios / Consultoría de Software / Digital,2369,3408,5672,845,1152,"Docker,Firebase,Google Cloud Platform/App Engine,IBM Cloud / Watson,OpenStack,SAP","C,COBOL,CSS,Dart,Delphi,Go","Angular,Bootstrap,Hadoop,React.js",Microsoft SQL Server,"Cucumber,Mocha,RSpec","Android Studio,Visual Studio Code","Abono de celular,Capacitaciones y/o cursos"
55,Mendoza,2001-5000,Otras industrias,5238,7807,449,1953,5430,"Kubernetes,OpenShift,OpenStack","Assembler,Matlab,Rust,Scala,VBA","Hadoop,Laravel","IBM Db2,Neo4j","Puppeteer,Ranorex,Telerik Studio","Atom,Notepad++",
56,San Luis,51-100,Otras industrias,7016,9348,4050,1087,420,Microcontroladores,"Java,Swift","Flask,Spark,Spring,TensorFlow",,"Appium,PHPUnit,Test Complete","Atom,WebStorm",
57,Salta,2001-5000,Servicios / Consultoría de Software / Digital,4965,1886,8990,746,5386,IBM Cloud / Watson,"C++,C#,Clojure,Groovy,Solidity,VBA",,"Aerospike,Google Cloud Storage,IBM Db2,MongoDB","JUnit,Mocha","IntelliJ,Nano,Xcode",Clases de idiomas
58,Chaco,1001-2000,Servicios / Consultoría de Software / Digital,5272,1799,7486,8857,7054,"Arduino o similar,Heroku,Kubernetes,Microcontroladores",Dart,"Cordova,React.js,SwiftUI,SAP",Amazon Redshift,"Karma,Postman",Eclipse,
59,San Luis,501-1000,Producto basado en Software,8248,785,7130,3733,5878,"Arduino o similar,IBM Cloud / Watson",,Vue.js,Percona XtraBackup,"NUnit,Puppeteer,TFS,Xunit","IPython / Jupyter,TextMate,Visual Studio,Visual Studio Code","Cuota para universidad / posgrados,Stock options / RSUs,Sueldo divido en dos pagos por mes"
60,San Juan,2001-5000,Producto basado en Software,4078,683,9726,8215,5919,AIX,"Python,Ruby,Scala",".NET Core,Django,Rails,Vue.js","Amazon DynamoDB,ElasticSearch,MongoDB,Percona XtraBackup","JUnit,Lippia,Karma,Test Complete",,Abono de celular
61,Misiones,51-100,Servicios / Consultoría de Software / Digital,7742,1481,2221,2998,8989,Azure,"Clojure,Go,Javascript,Python",Drupal,"Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB,MySQL,Percona XtraDB Cluster","Appium,Telerik Studio",TextMate,"Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
62,Río Negro,101-200,Producto basado en Software,4185,7522,9701,1844,5592,"Docker,Windows Server","Ruby,Scala","Cordova,Symfony","Apache Hive,MySQL","Cypress,Lippia,Puppeteer,Test Complete,Visual Studio Coded UI",,Viáticos
63,San Juan,201-500,Otras industrias,2460,1346,4637,4657,4515,"*BSD,Firebase",,"Bootstrap,Flutter,WordPress","Microsoft Azure (Tables, CosmosDB, SQL, etc)","Cucumber,Jest,JUnit,Visual Studio Coded UI","Atom,Nano",
64,Santa Fe,501-1000,Producto basado en Software,6964,5571,5318,7207,4666,"Docker,IBM Cloud / Watson,SAP","C#,Objective-C,Ruby,Smalltalk,TypeScript,VBA",Akka,"Amazon RDS/Aurora,MongoDB,PostgreSQL","Cypress,Jest,Karma,Visual Studio Coded UI","IPython / Jupyter,Visual Studio",
65,Mendoza,1001-2000,Producto basado en Software,9333,5478,269,8555,5049,AIX,"Bash/Shell,Dart,Delphi,Go,Elixir,Scala",".NET Core,Akka,Laravel",,"Cucumber,Mocha,OpenQA,PHPUnit,Telerik Studio","Visual Studio,WebStorm","Comidas pagas / subvencionadas,Stock options / RSUs"
66,Tucumán,5001-10000,Otras industrias,5219,430,7853,2588,3140,VMWare,"Assembler,Kotlin,Matlab,TypeScript","Angular,Django,Flask,Flutter,jQuery,SAP,WordPress","Amazon RDS/Aurora,MariaDB,Neo4j,Oracle,Percona Server,Teradata","OpenQA,Watir","Coda,Emacs,Sublime Text,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida"
67,Córdoba,101-200,Otras industrias,3373,4698,9222,9873,7037,,"C,Delphi,Java,Kotlin","Akka,Angular,Flask,Symfony","Apache Hive,Percona XtraDB Cluster","Lippia,Karma","Nano,Visual Studio","Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado,Stock options / RSUs"
68,San Juan,11-50,Servicios / Consultoría de Software / Digital,712,3901,1122,4887,9103,IBM Cloud / Watson,".NET,ABAP,C++,Ruby,Solidity,TypeScript","Bootstrap,Cordova,Flask,jQuery,Rails",Informix,"Cypress,Test Complete","Atom,IntelliJ,TextMate","Descuento en gimnasios / Clases de gimnasia online,Stock options / RSUs"
69,Chubut,2-10,Otras industrias,2348,8454,2287,2512,2491,Windows Server,"Groovy,Elixir,Scala,SQL","Cordova,Node.js","PostgreSQL,ProxySQL,Redis,SQLite","Appium,HP LoadRunner,JUnit,Mocha,NUnit,RSpec,Silktest","Eclipse,Komodo,Xcode",
70,Salta,5001-10000,Producto basado en Software,3876,259,6580,1361,2915,"Amazon Web Services,Firebase,SAP,Serverless","Assembler,R,Ruby,SQL","Rails,Spring","Apache Hive,Google Cloud Storage,HANA,MySQL","HP LoadRunner,Postman,Visual Studio Coded UI","Atom,Emacs,IntelliJ,Visual Studio,Zend","Capacitaciones y/o cursos,Horarios flexibles"
71,Provincia de Buenos Aires,101-200,Otras industrias,6209,7212,728,8072,424,Google Cloud Platform/App Engine,"Assembler,Dart,Smalltalk","Django,Flask,Flutter,Hadoop","Amazon RDS/Aurora,PostgreSQL","HP LoadRunner,Silktest,Watir","Emacs,TextMate,Visual Studio Code",Abono de celular
72,Santa Cruz,5001-10000,Producto basado en Software,2609,7944,6915,893,3055,,PHP,"Akka,Angular","IBM Db2,MariaDB,Percona Server,Redis",JUnit,NetBeans,Cuota para universidad / posgrados
73,Chaco,2-10,Servicios / Consultoría de Software / Digital,4400,7935,8589,8089,2488,"Azure,Google Cloud Platform/App Engine,Solaris,Windows Server",".NET,Delphi,Python,Ruby,Scala,SQL,VBA","Flutter,Spring","Apache HBase,Microsoft Azure (Tables, CosmosDB, SQL, etc),ProxySQL,SQLite,Sybase","NUnit,TFS","Notepad++,PyCharm,Visual Studio",Cuota para universidad / posgrados
74,Entre Ríos,2001-5000,Otras industrias,7309,4224,8325,5557,3971,Docker,,"Flutter,SAP,Spring,Symfony","HANA,Percona XtraDB Cluster,PostgreSQL",,,
75,Mendoza,2001-5000,Otras industrias,2739,8686,4380,9777,8593,OpenStack,"Bash/Shell,C,Python","Rails,Symfony,WordPress",,"Lippia,RSpec,SoapUI,TFS","Nano,Visual Studio,Visual Studio Code,Xcode",
76,San Juan,2001-5000,Otras industrias,9093,6869,6765,9487,6310,SAP,"Clojure,Go,Objective-C,SQL","Akka,jQuery,TensorFlow","MySQL,Percona Server,Redis",,"PHPStorm,Vim,Visual Studio",Comidas pagas / subvencionadas
77,Río Negro,1001-2000,Servicios / Consultoría de Software / Digital,7565,5502,6005,955,1632,Linux,"Assembler,Bash/Shell,Erlang,Java,R,Smalltalk,Solidity,TypeScript",,"Apache Hive,MySQL","Lippia,PHPUnit,RSpec,SoapUI,TFS",Visual Studio Code,"Cuota para universidad / posgrados,Sueldo divido en dos pagos por mes,Viáticos"
78,Santiago del Estero,10001+,Otras industrias,7788,8522,7107,3009,5957,"AIX,OpenShift,Solaris","Bash/Shell,C++,C#,Objective-C,Perl,SQL","Flask,TensorFlow,Vue.js,WordPress",Percona Server,"RSpec,Silktest,TFS",Sublime Text,Vacaciones flexibles (adicionales a las reglamentarias)
79,Chaco,101-200,Servicios / Consultoría de Software / Digital,4595,2223,9141,6497,9589,"Firebase,Serverless","C,COBOL,Delphi,Go,Groovy,Perl,Scala",Symfony,"Apache Hive,ElasticSearch,Google Cloud Storage,Neo4j,ProxySQL,Redis","HP UFT,NUnit","Coda,NetBeans","Abono de Internet,Lactario en la oficina"
80,Neuquén,1001-2000,Otras industrias,8088,573,9844,2387,9896,Firebase,Ruby,Angular,"ElasticSearch,Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraDB Cluster","JUnit,Mocha,Telerik Studio","Nano,NetBeans,Vi","Licencia de paternidad / maternidad extendida,Viáticos"
81,GBA,2001-5000,Otras industrias,215,7636,9074,1641,2169,"Amazon Web Services,Arduino o similar","Arduino,Delphi,Ruby,Rust,Smalltalk",Hibernate,"Amazon Redshift,Google Cloud Storage,HANA,Oracle,SQLite","Cucumber,Katalon,PHPUnit,Postman,Puppeteer,Xunit","Android Studio,Nano,NetBeans,Visual Studio,Visual Studio Code","Capacitaciones y/o cursos,Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado"
82,La Pampa,10001+,Servicios / Consultoría de Software / Digital,7796,413,1207,3234,3763,"AIX,Solaris","C,COBOL,Go,Python,TypeScript",,"Apache Hive,Sybase","JUnit,NUnit","Eclipse,Xcode",Abono de Internet
83,Jujuy,2001-5000,Otras industrias,9959,5779,5948,4221,7804,"Amazon Web Services,Azure,Google Cloud Platform/App Engine","Clojure,Delphi,Objective-C,TypeScript","Akka,Spark,Vue.js","Apache Hive,Cassandra,Google Cloud Storage",,"Coda,Visual Studio","Comidas pagas / subvencionadas,Viáticos"
